Date,Temperature,Dew/Frost Point,Wet Bulb Temperature,Earth Skin Temperature,Min Temperature,Max Temperature,Specific Humidity,Relative Humidity,Precipitation,Day Peak,Evening Peak,Off Peak
02/09/2021,19.12,13.55,16.33,19.36,13.08,26.36,9.64,72.31,0,1022,1037,774
02/10/2021,20.32,13.27,16.8,19.8,15.29,26.76,9.46,66.25,0,1053,1039,778
02/11/2021,20.22,11.8,16.01,19.3,15.36,25.71,8.61,59.69,0,1037,1013,771
02/12/2021,19.85,12.15,16,19.2,15.01,25.69,8.79,62.25,0,963,982,758
02/13/2021,19.65,12.83,16.24,19.23,14.34,25.98,9.22,66.38,0,941,985,749
02/14/2021,19.73,12.94,16.33,19.4,13.4,26.09,9.28,67.56,0,979,998,748
02/15/2021,20.78,12.85,16.81,19.9,14.45,26.24,9.22,62,0,1000,1006,735
02/16/2021,20.73,12.64,16.69,20.15,15.44,26.84,9.09,61.19,0,1000,1000,722
02/17/2021,20.86,12.99,16.92,20.89,14.48,28.63,9.34,63.12,0,986,985,723
02/18/2021,22.5,14.44,18.48,22.04,15.8,29.38,10.19,62.38,0,969,981,720
02/19/2021,22.85,14.99,18.92,22.71,17.69,28.24,10.56,62.31,0,942,961,712
02/20/2021,22.76,16.07,19.41,23.13,18.9,28.05,11.29,66.94,0,900,907,701
02/21/2021,22.98,15.23,19.11,23.44,18.78,29.02,10.74,63.38,0,882,904,696
02/22/2021,22.05,13.05,17.55,22.1,16.58,28.24,9.34,59,0,937,980,723
02/23/2021,22.42,12.92,17.67,22.01,17.04,28.8,9.28,56.69,0,992,1029,764
02/24/2021,22.08,14.26,18.17,22.15,16.35,28.14,10.19,62.94,0,1020,1053,776
02/25/2021,23.02,19.26,21.15,23.44,19.52,28.12,13.98,81.31,0,1022,1073,771
02/26/2021,23.17,18.9,21.04,23.94,18.26,29.04,13.67,79.06,0,1016,1083,777
02/27/2021,22.96,19.73,21.34,24.07,18.13,28.49,14.4,83.25,0,1043,1107,797
02/28/2021,24.05,20.27,22.16,24.85,19.74,29.77,14.89,81.62,0,1087,1132,812
03/01/2021,24.69,19.87,22.28,25.34,19.62,30.66,14.53,77.75,0,1111,1147,815
03/02/2021,25.5,17.77,21.63,25.93,20.56,30.66,12.76,65.5,0,1115,1148,824
03/03/2021,24.9,17.56,21.23,25.54,20.12,30.08,12.57,65.25,0,1112,1150,844
03/04/2021,24.33,19.99,22.16,25.64,20.48,29.19,14.59,79.19,0,1090,1148,872
03/05/2021,24.14,20.3,22.22,25.62,19.86,29.21,14.89,81.25,0,1044,1132,889
03/06/2021,24.46,20.56,22.51,25.79,21.05,29.19,15.14,80.88,0,1020,1118,876
03/07/2021,24.66,20.62,22.65,26.48,21.08,29.37,15.14,79.75,0.03,1019,1114,842
03/08/2021,25.01,20.02,22.52,26.65,20.72,30.23,14.59,76.12,0.02,1016,1105,818
03/09/2021,25.08,20.46,22.77,26.51,20.8,30.33,15.01,78.25,0.01,1019,1096,811
03/10/2021,24.95,20.29,22.62,26.07,20.93,29.84,14.89,78.19,0.02,1048,1124,804
03/11/2021,26.05,18.86,22.45,27.19,21.05,31.29,13.61,67.5,0.63,1064,1156,802
03/12/2021,26.65,19.85,23.25,26.7,22.15,31.65,14.4,67.31,39.07,1043,1169,825
03/13/2021,26.49,19.26,22.87,27.07,21.44,32.48,13.92,66.81,0,1043,1196,853
03/14/2021,25.53,17.99,21.76,26.11,21.13,31.04,12.88,64.75,0,1062,1209,860
03/15/2021,25.35,16.48,20.92,26.12,19.67,30.92,11.66,59.88,0,1074,1195,865
03/16/2021,25.74,16.22,20.98,26.31,19.79,32.29,11.54,58.75,0,1072,1178,872
03/17/2021,25.73,14.44,20.08,26.21,19.15,32.63,10.31,52.88,0,1061,1161,862
03/18/2021,26.25,13.38,19.82,26.16,19.17,33.09,9.58,47.38,0,1047,1166,850
03/19/2021,26.83,14.78,20.8,26.83,20.87,32.55,10.56,48.81,0,1033,1194,862
03/20/2021,26.8,16.15,21.48,26.8,22.32,31.55,11.47,53.19,0,1074,1245,886
03/21/2021,28.21,16.76,22.49,28.06,23.78,33.88,11.96,51.38,0,1159,1280,905
03/22/2021,28.88,16.95,22.92,29.02,23.51,35.71,12.02,50.56,0,1216,1298,920
03/23/2021,29.12,16.4,22.76,29.41,22.2,35.56,11.66,48.62,0,1239,1309,932
03/24/2021,29.65,18.45,24.05,29.54,25.12,34.65,13.31,52.25,0,1229,1296,934
03/25/2021,29.38,19.86,24.62,30.05,23.65,34.91,14.65,60.56,0,1145,1237,912
03/26/2021,29.38,16.22,22.8,29.22,24.97,34.8,11.54,46.5,0,1075,1199,892
03/27/2021,28.8,15.44,22.12,29.25,22.95,35.06,10.99,45.94,0,1128,1258,895
03/28/2021,27.8,15.72,21.76,28.55,21.71,34.19,11.29,50.94,0,1182,1283,896
03/29/2021,27.75,20.05,23.9,28.56,23.58,33.49,14.83,66.06,0,1147,1255,900
03/30/2021,27.87,22.4,25.14,29.03,24.25,32.4,17.09,74.31,0,1089,1259,924
03/31/2021,28.33,23.44,25.88,29.42,25.26,32.43,18.25,76.5,0.02,1106,1290,948
04/01/2021,28.04,23.41,25.73,29.64,25.44,31.82,18.13,77.06,0.19,1154,1286,966
04/02/2021,27.77,21.88,24.83,29.44,24.16,32.69,16.48,72.56,0.18,1154,1261,978
04/03/2021,28.83,17.78,23.3,30.02,22.47,35.72,13.06,58.19,0,1162,1258,969
04/04/2021,28.94,16.37,22.65,29.72,22.37,36.08,11.72,50.25,0,1173,1248,944
04/05/2021,28.7,18.74,23.73,30.19,24.04,34.98,13.67,59.25,1.34,1151,1226,920
04/06/2021,27.78,20.16,23.97,29.77,22.99,33.79,14.83,67,1.18,1137,1222,916
04/07/2021,27.62,21.17,24.4,29.78,22.53,33.3,15.81,71.44,0,1152,1242,928
04/08/2021,28,22.36,25.18,30.41,24.37,32.61,16.91,73.69,0,1158,1256,942
04/09/2021,28.76,21.55,25.15,31,25.03,33.81,16.11,67.56,0,1153,1267,969
04/10/2021,29.35,21.17,25.26,31.62,24.95,34.5,15.75,64.25,0,1182,1318,1003
04/11/2021,29.15,21.65,25.4,31.48,25.31,34.28,16.17,66.25,0,1246,1365,1025
04/12/2021,29.72,21.26,25.48,31.8,24.48,36.37,15.87,64.5,0,1284,1372,1036
04/13/2021,29.7,21.11,25.4,31.71,25.08,35.19,15.81,63.94,0,1262,1351,1025
04/14/2021,28.77,21.19,24.98,30.19,24.85,33.52,15.87,66.44,0,1227,1338,1012
04/15/2021,27.76,21.81,24.78,28.96,24.6,32.01,16.48,72.38,0,1216,1338,1006
04/16/2021,28.22,21.26,24.73,29.28,25.01,32.6,15.93,68.75,0.94,1190,1326,995
04/17/2021,28.18,20.63,24.4,30.12,24.19,33.41,15.26,66.56,5.38,1146,1307,977
04/18/2021,27.92,21.2,24.56,30,23.57,32.62,15.75,69.06,8.61,1140,1303,974
04/19/2021,28.59,21.23,24.91,31.03,24.33,33.69,15.81,67,0.05,1222,1336,1007
04/20/2021,28.91,21.83,25.37,31.5,24.63,34.32,16.42,68.38,0.03,1324,1384,1064
04/21/2021,29.37,21.9,25.64,31.85,24.41,35.17,16.54,67.75,0,1349,1386,1088
04/22/2021,29.57,21.9,25.73,32.25,25.23,34.76,16.54,66.56,0,1279,1347,1062
04/23/2021,30.81,21.15,25.98,33.05,26.19,36.27,15.81,58.94,0,1212,1313,1027
04/24/2021,30.75,16.21,23.48,31.9,24.39,37.2,11.6,44.38,0,1240,1321,1024
04/25/2021,30.19,18.79,24.48,31.37,25.15,35.74,13.73,53.44,0,1342,1373,1054
04/26/2021,30.5,22.12,26.31,32.74,25.98,36.12,16.85,64.44,0,1426,1436,1103
04/27/2021,29.84,23.15,26.5,31.98,26.19,34.69,17.82,69.62,0,1444,1467,1138
04/28/2021,29.05,22.44,25.74,30.52,26.29,32.71,17.03,69.19,0,1441,1451,1140
04/29/2021,30.28,21.44,25.86,31.22,26.79,34.03,15.99,60.44,0,1399,1426,1124
04/30/2021,30.19,22.69,26.44,31.96,26.76,34.31,17.33,66.12,0.34,1299,1396,1107
05/01/2021,29.75,22.62,26.19,31.64,26.47,33.37,17.21,67.25,4.49,1260,1374,1108
05/02/2021,29.43,22.41,25.92,31.44,26.38,33.48,16.97,67.31,5.4,1337,1394,1121
05/03/2021,28.81,21.92,25.37,30.08,26.29,31.3,16.48,67.25,3.73,1373,1391,1117
05/04/2021,27.51,21.81,24.66,27.8,25.48,29.15,16.36,71.31,17.17,1330,1358,1096
05/05/2021,27.79,20.31,24.05,28.98,24.41,32,14.89,65.44,3.18,1304,1351,1072
05/06/2021,28.51,20.09,24.3,29.97,23.58,32.17,14.65,62.06,0.18,1318,1368,1076
05/07/2021,29.59,21.38,25.49,31.24,25.94,33.83,15.87,62.81,2.5,1319,1378,1082
05/08/2021,29.88,21.86,25.87,31.89,26.05,33.69,16.36,63.5,6.57,1312,1373,1084
05/09/2021,29.69,22.18,25.94,31.8,26.18,33.91,16.72,65.25,5.26,1290,1331,1078
05/10/2021,29.13,22.98,26.05,31.49,26.37,32.87,17.58,70.5,4.18,1266,1298,1062
05/11/2021,29.3,22.69,26,31.61,26.26,33.36,17.27,69,7.15,1244,1276,1049
05/12/2021,28.67,23.3,25.99,30.34,26.24,31.76,17.94,73.56,14.07,1144,1180,1013
05/13/2021,28.42,23.58,26.01,30.07,25.51,31.85,18.25,76.12,13.93,958,1011,932
05/14/2021,28.23,23.98,26.11,29.95,24.89,31.73,18.74,78.75,12.2,848,926,834
05/15/2021,29.72,24.68,27.2,31.81,25.88,34.05,19.53,75.94,2.99,939,997,820
05/16/2021,30.37,24.44,27.4,32.15,26.15,34.8,19.29,72.94,8.96,1126,1143,897
05/17/2021,31.23,25.08,28.15,33.16,27.33,35.73,20.02,71.75,1.11,1279,1265,984
05/18/2021,30.2,25.74,27.98,31.32,28.27,33.13,20.81,78,0.05,1375,1332,1058
05/19/2021,30.65,24.96,27.8,32.58,27.76,34.4,19.9,73.5,0.36,1407,1350,1104
05/20/2021,30.34,26.4,28.37,31.18,28.72,32.57,21.67,79.94,0.37,1396,1351,1107
05/21/2021,30.37,25.31,27.84,31.65,28.22,33.31,20.32,75.5,0.05,1361,1359,1086
05/22/2021,31.16,24.29,27.73,33.52,27.83,35.41,19.1,67.94,0.01,1328,1342,1070
05/23/2021,31.78,25.08,28.43,33.87,28.58,36.73,20.08,69.19,3.6,1298,1298,1042
05/24/2021,30.73,24.72,27.72,32.31,28.1,34.76,19.71,71.94,9.15,1250,1276,1013
05/25/2021,30.18,24.47,27.33,31.38,27.03,34.47,19.41,72.69,19.18,1200,1278,1008
05/26/2021,28.68,23.95,26.32,29.76,25.81,32.39,18.8,76.5,18.62,1175,1277,998
05/27/2021,29.34,24.17,26.76,30.48,25.12,33.87,19.04,75.94,5.25,1166,1292,995
05/28/2021,30.06,25.27,27.66,32,26.15,34.64,20.26,77.25,1.02,1162,1328,1020
05/29/2021,30.18,25.05,27.62,32.48,27.09,34.48,19.96,75.56,0.61,1197,1358,1047
05/30/2021,30.05,25.32,27.69,31.92,27.44,33.54,20.32,76.75,6.45,1235,1346,1051
05/31/2021,29.57,25.61,27.59,30.68,27.65,32.3,20.69,79.81,21.72,1216,1284,1026
06/01/2021,28.59,26.6,27.59,28.83,27.14,30.26,21.91,89.06,45.21,1160,1224,990
06/02/2021,28.92,26.23,27.57,29.45,27.55,30.59,21.42,85.69,30.98,1142,1237,985
06/03/2021,29.26,26.57,27.91,29.9,27.38,31.69,21.85,85.81,30.34,1146,1266,997
06/04/2021,29.13,26.58,27.85,29.4,27.51,31.13,21.85,86.44,27.07,1141,1250,999
06/05/2021,29.14,27.22,28.18,29.23,27.86,30.85,22.71,89.5,23.17,1142,1207,984
06/06/2021,28.87,26.8,27.83,28.89,27.55,30.88,22.16,88.88,43.36,1146,1183,959
06/07/2021,28.83,26.23,27.53,28.81,27.1,31.39,21.42,86.19,39.25,1168,1225,958
06/08/2021,28.65,26.19,27.43,28.71,27.43,30.64,21.42,86.69,12.56,1226,1284,978
06/09/2021,28.65,25.38,27.02,28.84,27.01,30.42,20.45,82.94,4.03,1283,1307,998
06/10/2021,28.12,25.12,26.62,28.45,26.45,30.44,20.14,84.06,9.38,1277,1308,1009
06/11/2021,27.67,25.57,26.62,27.87,25.08,30.32,20.75,88.5,11.56,1227,1314,1028
06/12/2021,28.54,25.96,27.25,28.92,26.41,31.44,21.18,86.31,10.73,1214,1339,1052
06/13/2021,28.94,26,27.47,29.5,26.86,32.05,21.24,84.62,7.52,1223,1357,1059
06/14/2021,28.83,26.38,27.6,29.15,26.87,31.48,21.79,87.12,11.8,1210,1340,1045
06/15/2021,27.77,25.87,26.82,27.93,25.87,29.96,21.12,89.44,46.18,1186,1289,1019
06/16/2021,27.72,25.57,26.65,27.89,26.48,29.24,20.69,88.19,28.65,1178,1238,992
06/17/2021,27.3,25.12,26.2,27.79,25.55,29.11,20.08,88,61.1,1145,1198,952
06/18/2021,27.03,25.12,26.08,27.26,25.26,29.29,20.08,89.38,65.54,1069,1159,900
06/19/2021,26.65,25.06,25.86,26.91,25.98,27.54,19.96,91,35.75,1041,1157,887
06/20/2021,27.26,25.16,26.22,27.29,25.91,28.69,20.08,88.44,41.91,1071,1190,916
06/21/2021,26.65,24.76,25.7,26.66,25.48,27.87,19.65,89.44,64.64,1108,1223,936
06/22/2021,27.26,24.9,26.08,27.76,25.4,29.91,19.78,87.25,7.89,1152,1256,946
06/23/2021,27.74,25.48,26.61,27.93,25.41,30.65,20.51,87.69,24.85,1182,1285,972
06/24/2021,27.87,25.62,26.74,28.08,25.89,30.31,20.69,87.75,8.93,1173,1288,996
06/25/2021,27.74,25.24,26.49,28.13,26.05,29.78,20.2,86.44,12.62,1160,1283,1004
06/26/2021,27.87,25.59,26.73,28.44,25.67,30.53,20.63,87.62,17,1178,1292,1014
06/27/2021,28.26,25.9,27.08,28.96,26.22,30.87,21,87.38,7.77,1203,1288,1021
06/28/2021,28.31,25.93,27.12,28.66,26.79,30.36,21,87.06,11.01,1215,1263,1010
06/29/2021,28.35,26.33,27.34,28.47,26.71,30.28,21.55,88.94,26.25,1197,1220,980
06/30/2021,28.46,26.49,27.48,28.66,24.98,30.75,21.85,89.25,106,1133,1173,937
07/01/2021,27.13,25.54,26.33,27.27,24.9,28.7,20.63,91,68.31,1053,1138,896
07/02/2021,27.85,25.55,26.7,28.12,26.16,30.38,20.63,87.69,16.03,1024,1130,880
07/03/2021,27.52,25.32,26.42,27.5,26.12,29.31,20.32,87.88,16.74,1053,1143,872
07/04/2021,27.59,25.76,26.68,27.73,26.01,29.49,20.87,89.81,18.07,1078,1178,878
07/05/2021,27.97,26,26.98,28.42,25.73,30.48,21.18,89.31,7.57,1097,1228,919
07/06/2021,28.32,26.37,27.34,28.58,26.66,30.34,21.67,89.31,27.18,1104,1243,964
07/07/2021,28,26.38,27.19,28.2,26.69,29.87,21.67,91.06,45.28,1115,1237,982
07/08/2021,28.01,25.91,26.97,28.59,26.26,30.45,21.06,88.5,14.01,1136,1265,1004
07/09/2021,28.15,25.78,26.97,28.78,25.89,30.69,20.94,87.25,8,1176,1304,1042
07/10/2021,28.38,26.12,27.25,28.97,26.42,30.77,21.36,87.75,16.29,1226,1298,1057
07/11/2021,29.04,26.2,27.62,29.66,26.04,32.57,21.42,85.38,2.32,1258,1289,1040
07/12/2021,28.79,26.23,27.51,29.36,26.73,32.22,21.42,86.62,24.41,1262,1333,1040
07/13/2021,28.19,25.8,27,28.62,26.37,31,20.87,87.06,7.44,1259,1387,1067
07/14/2021,28.53,25.69,27.11,29.18,25.96,31.48,20.75,85.19,8.28,1284,1407,1079
07/15/2021,28.94,26.05,27.49,29.52,26.65,31.56,21.18,84.75,8.94,1302,1394,1078
07/16/2021,28.77,25.63,27.2,29.64,26.88,31.11,20.63,83.62,10.93,1273,1368,1074
07/17/2021,28.36,25.94,27.15,28.8,26.89,30.07,21.06,86.94,25.09,1238,1352,1068
07/18/2021,28.58,25.95,27.26,29.17,26.76,30.51,21.12,85.94,5.95,1204,1315,1042
07/19/2021,28.24,26.12,27.19,28.62,26.81,30.08,21.36,88.5,28.48,1130,1212,1004
07/20/2021,28.7,26.13,27.41,29.06,26.98,30.9,21.42,86.25,7.05,1003,1101,953
07/21/2021,29.06,25.58,27.33,29.58,26.4,32.6,20.81,82.38,10.93,884,1045,874
07/22/2021,28.74,25.98,27.37,29.22,26.63,32.53,21.3,85.56,7.96,842,1008,821
07/23/2021,28.17,26.33,27.25,28.5,26.59,30.07,21.67,89.88,29.85,789,940,773
07/24/2021,28.52,26.6,27.56,28.8,27.19,30.48,21.97,89.44,61.76,754,909,724
07/25/2021,28.35,26.51,27.43,28.55,26.79,30.4,21.91,89.94,22.21,775,921,712
07/26/2021,28.81,26.65,27.73,29.13,27.57,30.56,22.09,88.31,18.31,790,902,706
07/27/2021,29.3,27.08,28.19,29.93,27.37,31.86,22.83,88.19,58.45,775,880,681
07/28/2021,28.18,27.05,27.62,28.14,27.02,29.4,22.77,93.5,100.91,781,908,667
07/29/2021,27.67,26.31,26.99,27.73,26.6,29.73,21.67,92.31,40.07,788,936,696
07/30/2021,28.09,26.22,27.15,28.35,26.37,30.33,21.48,89.69,53.11,797,958,752
07/31/2021,28.12,26.08,27.1,28.44,26.7,30.05,21.3,88.81,25.55,872,1014,822
08/01/2021,28.06,26.33,27.2,28.3,26.39,30.15,21.67,90.44,48.08,989,1084,877
08/02/2021,27.08,25.81,26.44,27.22,25.9,28.37,21,92.75,33.02,1067,1131,901
08/03/2021,27.31,25.34,26.33,28,24.97,30.2,20.39,89.25,26.49,1114,1151,930
08/04/2021,28.33,26.06,27.19,28.81,26.15,31.13,21.3,87.81,11.24,1154,1182,978
08/05/2021,29.23,25.99,27.61,29.26,25.98,33.04,21.3,83.25,9.75,1162,1216,1014
08/06/2021,27.98,26.58,27.28,27.93,26.9,29.41,21.97,92.12,11.68,1150,1220,1019
08/07/2021,28.29,26.23,27.26,28.7,26.34,30.97,21.48,88.94,42.11,1170,1221,1030
08/08/2021,28.45,26.39,27.42,28.6,26.81,30.75,21.61,88.81,16.49,1220,1227,1060
08/09/2021,28.34,26.35,27.35,28.8,26.32,30.7,21.61,89.12,50.24,1244,1239,1080
08/10/2021,28.58,26.6,27.59,28.77,26.99,30.6,21.97,89.19,22.89,1240,1271,1082
08/11/2021,27.99,26.68,27.33,27.99,27.26,29.16,22.03,92.56,19.83,1244,1299,1076
08/12/2021,28.13,26.07,27.1,28.15,26.72,29.74,21.24,88.81,22.75,1246,1312,1073
08/13/2021,28.4,26.73,27.56,28.35,26.83,30.44,22.09,90.69,31.7,1223,1313,1083
08/14/2021,28.67,26.36,27.51,28.75,26.94,30.88,21.67,87.5,32.65,1223,1327,1110
08/15/2021,28.45,26.37,27.4,28.8,26.61,30.49,21.67,88.62,15.16,1242,1334,1120
08/16/2021,27.99,26.44,27.22,28.07,26.46,29.8,21.73,91.38,24.32,1261,1328,1116
08/17/2021,27.36,25.87,26.62,27.5,25.44,29.18,20.94,91.62,50.21,1259,1329,1116
08/18/2021,27.39,26.19,26.79,27.48,26.17,28.93,21.36,93.06,65.55,1245,1334,1109
08/19/2021,26.98,25.55,26.26,27.14,25.8,28.75,20.57,91.88,42.08,1227,1303,1095
08/20/2021,27.27,25.26,26.26,27.93,25.09,29.8,20.14,89,16.57,1219,1267,1092
08/21/2021,27.48,25.06,26.26,28.17,25.62,29.63,19.9,86.88,2.97,1254,1292,1106
08/22/2021,28.29,25.6,26.94,28.94,26.19,30.83,20.57,85.62,4.74,1317,1365,1130
08/23/2021,28.42,26.19,27.3,28.65,26.65,30.51,21.36,87.88,9.48,1363,1407,1140
08/24/2021,28.38,26.4,27.39,28.62,27.09,30.44,21.67,89.19,17.21,1359,1389,1128
08/25/2021,28.19,26,27.09,28.57,26.85,29.85,21.18,88.12,43.97,1327,1356,1133
08/26/2021,28.05,26.23,27.15,28.27,26.68,29.9,21.48,90,28.23,1290,1351,1159
08/27/2021,27.8,25.73,26.76,28.09,26.05,30.02,20.81,88.75,35.19,1250,1349,1160
08/28/2021,27.8,25.74,26.77,28.08,26.06,30.05,20.87,88.75,4.07,1247,1336,1128
08/29/2021,27.6,25.56,26.58,27.94,25.72,30.15,20.63,88.88,4.02,1267,1336,1089
08/30/2021,27.32,25.24,26.28,27.68,25.8,29.4,20.14,88.62,13.87,1306,1347,1087
08/31/2021,27.9,25.14,26.51,28.76,25.2,31.13,20.02,85.5,10.16,1359,1362,1124
09/01/2021,28.33,25,26.66,29.17,26.28,31.05,19.84,82.56,18.67,1386,1376,1144
09/02/2021,28.63,25.73,27.18,28.91,26.94,30.67,20.81,84.44,16.8,1352,1386,1123
09/03/2021,28.5,25.26,26.87,29.31,25.6,31.69,20.26,83.31,5.38,1292,1379,1086
09/04/2021,28.68,25.69,27.19,29.66,26.62,32.12,20.81,84.38,5.46,1289,1372,1063
09/05/2021,29.33,25.92,27.62,29.88,26.59,32.79,21.12,82.62,23.48,1317,1377,1054
09/06/2021,28.31,25.69,27.01,28.72,26.05,31.42,20.75,86.19,14.64,1320,1369,1043
09/07/2021,27.58,25.4,26.49,28.33,25.2,30.37,20.32,88.12,12.72,1305,1346,1022
09/08/2021,27.89,24.87,26.38,28.67,25.91,30.23,19.71,83.94,5.01,1298,1341,1007
09/09/2021,29.4,25.48,27.44,30.08,26.48,32.93,20.51,80.12,3.55,1272,1340,1012
09/10/2021,29.05,26.08,27.56,29.55,26.45,33.71,21.3,85,4.11,1238,1314,1030
09/11/2021,28.54,25.74,27.14,28.9,26.03,31.83,20.87,85.44,7.53,1238,1305,1034
09/12/2021,28.05,25.87,26.96,28.3,26.15,31.29,21.06,88.19,4.94,1250,1305,1020
09/13/2021,27.76,25.67,26.72,28.3,25.6,30.42,20.75,88.56,1.59,1256,1306,1003
09/14/2021,28.19,25.58,26.88,28.85,25.69,31.44,20.57,86.31,5.77,1252,1319,988
09/15/2021,28.01,25.58,26.8,28.51,26.67,29.73,20.57,86.75,4.66,1248,1331,990
09/16/2021,27.13,25.44,26.28,27.3,26.1,28.44,20.45,90.44,9.57,1243,1323,999
09/17/2021,27.2,25.26,26.23,27.27,26.05,28.36,20.26,89.19,5.35,1222,1309,985
09/18/2021,27.33,25.66,26.5,27.69,25.79,29.5,20.69,90.69,42.89,1200,1292,952
09/19/2021,26.88,25.48,26.19,27.17,25.94,28.4,20.45,92,64.53,1219,1272,942
09/20/2021,26.81,24.83,25.82,27.01,25.62,28.23,19.65,88.94,25.46,1264,1271,971
09/21/2021,26.92,24.69,25.81,27.05,25.67,28.44,19.53,87.75,4.43,1292,1291,1004
09/22/2021,26.73,24.85,25.79,27.08,25.15,28.65,19.71,89.5,1.86,1323,1334,1032
09/23/2021,28.04,25.07,26.55,28.93,24.94,31.64,19.96,84.5,0.18,1328,1358,1066
09/24/2021,28.55,25.89,27.23,28.83,26.2,31.58,21,85.88,1.05,1296,1344,1087
09/25/2021,28.52,25.54,27.03,28.78,26.98,30.7,20.57,84.06,6.87,1299,1350,1076
09/26/2021,29.05,25.69,27.37,29.52,26.19,32.17,20.81,82.62,11.18,1352,1377,1064
09/27/2021,28.33,25.6,26.96,28.59,26.18,31.59,20.63,85.69,10.59,1387,1404,1072
09/28/2021,26.87,24.87,25.87,27.15,25.83,28.51,19.71,88.88,15.93,1385,1424,1092
09/29/2021,27.56,24.99,26.28,28.15,25.61,30.15,19.84,86.19,16.13,1377,1445,1115
09/30/2021,28.47,24.76,26.62,28.48,26.56,30.81,19.53,80.75,2.7,1346,1452,1124
10/01/2021,27.92,23.83,25.88,28.3,24.94,30.77,18.49,79.44,1.52,1289,1402,1099
10/02/2021,28.23,24.33,26.27,28.93,26.4,30.92,19.04,79.69,1.63,1268,1362,1052
