district,upazila,area_type,substation_id,feeder_id,transformer_age,transformer_capacity,outage_history,maintenance_due,population_density,industrial_load_ratio,demand_night,demand_morning,demand_afternoon,demand_evening,renewable_night,renewable_morning,renewable_afternoon,renewable_evening,transformer_load_night,transformer_load_morning,transformer_load_afternoon,transformer_load_evening
Chattogram,Sitakunda,Rural,SS_005,FDR_15,8,400,3,Yes,1835,0.3,112,162,214,257,108,147,173,137,54,57,87,99
Cox's Bazar,Cox's Bazar Sadar,Urban,SS_025,FDR_01,5,350,1,No,17846,0.56,148,165,190,252,131,150,177,175,52,78,61,75
Cox's Bazar,Chakaria,Rural,SS_004,FDR_19,14,400,6,Yes,1142,0.02,144,196,230,271,142,165,212,129,46,59,66,100
Cox's Bazar,Kutubdia,Rural,SS_016,FDR_13,23,200,7,No,1666,0.07,132,183,190,207,132,125,173,124,59,52,81,97
Cox's Bazar,Maheshkhali,Rural,SS_021,FDR_08,24,300,0,Yes,1875,0.19,139,155,206,274,136,153,190,179,48,56,81,92
Cox's Bazar,Ramu,Rural,SS_009,FDR_12,19,200,5,No,1256,0.09,148,154,180,258,139,156,162,124,57,56,76,78
Cox's Bazar,Teknaf,Rural,SS_009,FDR_09,19,200,8,No,1633,0.05,145,169,219,267,100,162,220,139,69,71,63,100
Cox's Bazar,Ukhia,Rural,SS_004,FDR_03,14,350,9,No,590,0.0,113,195,201,226,143,160,183,152,55,58,88,99
Cox's Bazar,Pekua,Rural,SS_045,FDR_05,9,400,10,Yes,1256,0.17,116,160,227,256,135,165,204,155,40,53,62,100
Cox's Bazar,Eidgaon,Rural,SS_043,FDR_04,9,300,6,No,1332,0.29,108,152,199,246,150,175,155,177,51,56,81,77
Cumilla,Cumilla Sadar Adarsha,Urban,SS_048,FDR_08,9,300,3,Yes,16489,0.42,110,161,236,252,101,131,192,170,69,63,85,91
Cumilla,Cumilla Sadar Dakshin,Urban,SS_022,FDR_09,6,200,7,No,9573,0.47,114,162,232,258,122,139,179,134,40,71,66,82
Cumilla,Barura,Rural,SS_007,FDR_20,21,350,6,Yes,1142,0.13,143,184,201,203,107,176,183,131,58,80,68,71
Cumilla,Brahmanpara,Rural,SS_044,FDR_07,21,300,1,Yes,1860,0.28,124,186,192,232,102,165,205,120,56,79,85,87
Cumilla,Burichang,Rural,SS_009,FDR_07,24,350,5,Yes,1276,0.2,142,157,226,238,132,139,202,140,52,72,69,87
Cumilla,Chandina,Rural,SS_042,FDR_11,10,350,9,Yes,1883,0.06,136,169,205,270,100,139,186,133,53,75,78,89
Cumilla,Chauddagram,Rural,SS_044,FDR_10,20,250,2,No,801,0.01,142,155,198,265,142,160,192,125,66,80,84,77
Cumilla,Daudkandi,Rural,SS_016,FDR_05,12,200,7,No,718,0.23,139,199,184,258,126,176,174,165,62,62,75,82
Cumilla,Debidwar,Rural,SS_034,FDR_18,12,400,2,Yes,1406,0.18,144,183,209,206,135,135,165,149,44,75,74,91
Cumilla,Homna,Rural,SS_041,FDR_09,21,400,6,Yes,989,0.08,135,178,237,220,147,175,210,148,48,74,67,96
Cumilla,Laksam,Rural,SS_046,FDR_07,7,200,4,No,1177,0.16,115,167,201,240,134,125,167,129,47,62,82,74
Cumilla,Meghna,Rural,SS_049,FDR_13,18,350,0,Yes,1618,0.24,113,176,204,274,144,121,198,150,40,80,71,79
Cumilla,Monohorganj,Rural,SS_011,FDR_15,12,250,7,No,1593,0.01,114,167,207,262,101,144,193,162,61,75,72,93
Cumilla,Muradnagar,Rural,SS_025,FDR_11,17,250,9,Yes,1191,0.23,136,192,181,210,141,147,167,175,54,55,61,78
Cumilla,Nangalkot,Rural,SS_005,FDR_02,17,200,4,No,908,0.25,148,176,196,210,130,121,219,123,70,61,67,90
Cumilla,Titas,Rural,SS_011,FDR_20,24,400,2,No,1971,0.03,115,158,210,214,136,180,177,149,62,58,84,81
Cumilla,Lalmai,Rural,SS_038,FDR_08,10,200,4,No,1117,0.26,106,187,181,239,136,163,198,145,70,72,66,72
Noakhali,Noakhali Sadar,Urban,SS_022,FDR_01,24,350,1,No,6729,0.49,150,186,230,205,122,154,204,162,51,52,76,90
Noakhali,Begumganj,Rural,SS_035,FDR_16,16,350,10,Yes,1997,0.18,129,195,189,255,111,166,216,161,48,69,85,99
Noakhali,Chatkhil,Rural,SS_002,FDR_16,15,300,3,Yes,934,0.11,105,167,236,257,115,168,209,156,59,71,72,80
Noakhali,Companiganj,Rural,SS_027,FDR_16,13,400,5,No,1914,0.14,117,188,224,235,135,120,216,180,46,52,67,93
Noakhali,Hatiya,Rural,SS_036,FDR_17,20,300,7,Yes,1627,0.1,150,151,185,237,114,145,181,139,61,68,71,85
Noakhali,Senbagh,Rural,SS_045,FDR_06,19,250,4,Yes,1491,0.08,119,166,194,215,146,132,190,127,63,67,90,94
Noakhali,Sonaimuri,Rural,SS_009,FDR_09,23,200,8,No,1633,0.09,138,168,186,224,118,134,196,131,49,50,82,87
Noakhali,Subarnachar,Rural,SS_004,FDR_09,9,350,10,Yes,633,0.12,148,181,186,201,136,138,210,150,54,60,65,100
Noakhali,Kabirhat,Rural,SS_027,FDR_20,7,400,9,No,962,0.23,140,193,183,219,109,171,188,125,47,53,77,94
Brahmanbaria,Brahmanbaria Sadar,Urban,SS_049,FDR_07,17,250,7,Yes,6330,0.43,128,169,235,275,127,139,157,159,70,73,63,100
Brahmanbaria,Ashuganj,Rural,SS_019,FDR_15,10,200,8,No,1041,0.24,104,160,180,252,128,164,210,138,41,57,69,92
Brahmanbaria,Bancharampur,Rural,SS_004,FDR_06,25,300,9,Yes,1665,0.28,142,162,207,214,134,134,169,178,48,76,64,72
Brahmanbaria,Bijoynagar,Rural,SS_028,FDR_11,19,400,1,Yes,687,0.07,129,194,199,251,117,152,219,151,54,52,79,71
Brahmanbaria,Kasba,Rural,SS_018,FDR_06,23,400,9,Yes,1507,0.29,101,198,223,234,136,122,172,150,56,70,74,99
Brahmanbaria,Nabinagar,Rural,SS_026,FDR_18,20,200,5,Yes,1144,0.08,126,171,200,213,110,141,202,164,55,59,81,100
Brahmanbaria,Nasirnagar,Rural,SS_032,FDR_15,8,200,6,Yes,1624,0.04,132,150,222,269,129,146,156,132,56,61,79,94
Brahmanbaria,Sarail,Rural,SS_036,FDR_14,14,200,7,Yes,732,0.14,144,181,187,203,140,158,180,165,45,59,77,70
Brahmanbaria,Akhaura,Rural,SS_030,FDR_18,8,250,10,Yes,1727,0.15,109,181,239,237,132,165,184,146,66,65,75,77
Chandpur,Chandpur Sadar,Urban,SS_020,FDR_19,9,400,1,No,13022,0.57,117,199,230,253,121,179,214,137,66,50,69,93
Chandpur,Haijganj,Rural,SS_045,FDR_08,19,400,8,Yes,1341,0.01,130,172,201,270,148,154,198,149,69,60,87,76
Chandpur,Haimchar,Rural,SS_007,FDR_15,20,200,6,Yes,1435,0.0,124,192,230,219,131,122,166,152,70,68,70,97
Chandpur,Haziganj,Rural,SS_022,FDR_18,9,350,6,No,1783,0.22,141,159,184,260,150,136,193,159,62,62,80,72
Chandpur,Kachua,Rural,SS_049,FDR_04,20,350,8,Yes,1113,0.27,102,189,184,230,140,163,186,134,63,52,73,73
Chandpur,Matlab North,Rural,SS_012,FDR_06,6,250,5,Yes,1283,0.19,150,153,198,245,123,147,168,135,56,63,78,91
Chandpur,Matlab South,Rural,SS_030,FDR_10,12,400,7,Yes,1404,0.28,137,159,194,259,140,136,208,136,61,50,88,95
Chandpur,Shahrasti,Rural,SS_016,FDR_13,23,400,4,Yes,1105,0.3,140,177,224,232,129,174,188,132,52,77,75,73
Feni,Feni Sadar,Urban,SS_019,FDR_08,14,400,0,No,8588,0.53,142,175,197,201,136,175,156,178,59,73,75,96
Feni,Chhagalnaiya,Rural,SS_024,FDR_05,24,200,4,No,1169,0.22,143,198,226,217,140,126,155,139,65,64,61,88
Feni,Daganbhuiyan,Rural,SS_031,FDR_10,10,300,3,No,1459,0.29,108,200,214,246,133,152,184,173,45,58,89,96
Feni,Parshuram,Rural,SS_008,FDR_15,9,300,3,No,1876,0.08,143,196,223,250,135,143,161,170,52,50,68,87
Feni,Fulgazi,Rural,SS_041,FDR_15,17,300,10,Yes,738,0.04,123,156,223,229,130,121,191,178,59,57,80,72
Feni,Sonagazi,Rural,SS_045,FDR_18,6,350,4,No,1988,0.05,131,157,186,230,134,128,199,149,51,71,90,93
Lakshmipur,Lakshmipur Sadar,Urban,SS_024,FDR_04,18,300,10,Yes,15564,0.47,106,181,219,252,117,122,197,133,54,64,90,77
Lakshmipur,Raipur,Rural,SS_022,FDR_08,17,250,4,No,920,0.02,112,157,240,258,105,162,177,161,60,69,60,71
Lakshmipur,Ramganj,Rural,SS_010,FDR_05,22,400,3,Yes,857,0.03,137,163,232,229,121,169,168,170,68,69,60,78
Lakshmipur,Ramgati,Rural,SS_027,FDR_17,5,200,2,No,1475,0.13,100,172,230,230,137,140,152,131,48,51,64,93
Lakshmipur,Kamalnagar,Rural,SS_034,FDR_10,16,350,8,Yes,563,0.02,137,156,208,264,114,180,155,166,65,79,87,91
Rangamati,Rangamati Sadar,Urban,SS_010,FDR_03,20,250,6,Yes,15372,0.52,127,193,186,262,145,178,206,124,68,52,70,89
Rangamati,Belaichhari,Rural,SS_042,FDR_18,15,250,6,Yes,967,0.12,138,183,198,258,132,158,205,126,65,72,63,97
Rangamati,Bagaichhari,Rural,SS_031,FDR_03,19,200,6,No,690,0.13,126,196,186,240,127,140,182,143,70,54,81,99
Rangamati,Barkal,Rural,SS_049,FDR_14,16,200,2,No,1729,0.09,135,153,217,271,135,141,165,146,51,77,81,100
Rangamati,Juraichhari,Rural,SS_049,FDR_09,8,400,9,Yes,1378,0.25,132,163,189,261,114,174,163,142,67,67,71,73
Rangamati,Kaptai,Rural,SS_020,FDR_11,24,300,9,Yes,793,0.17,143,191,215,203,138,179,184,121,45,58,82,94
Rangamati,Kawkhali,Rural,SS_011,FDR_12,17,300,1,No,1662,0.18,109,197,220,203,105,167,217,133,52,63,74,80
Rangamati,Langadu,Rural,SS_029,FDR_14,6,300,2,Yes,1549,0.03,110,198,219,206,143,125,184,148,61,63,75,89
Rangamati,Naniarchar,Rural,SS_001,FDR_07,18,300,1,No,781,0.23,118,193,223,275,131,153,189,122,47,62,79,71
Rangamati,Rajasthali,Rural,SS_043,FDR_12,14,200,5,Yes,586,0.13,107,150,211,255,111,128,198,154,62,57,76,87
Khagrachhari,Khagrachhari Sadar,Urban,SS_021,FDR_06,19,400,1,Yes,16298,0.58,120,186,207,273,125,165,203,138,43,62,60,100
Khagrachhari,Dighinala,Rural,SS_015,FDR_11,7,250,6,Yes,1796,0.03,106,165,207,275,125,153,160,145,67,59,83,80
Khagrachhari,Lakshmichhari,Rural,SS_049,FDR_03,21,250,3,No,1786,0.15,149,172,202,218,115,126,168,136,46,55,79,74
Khagrachhari,Mahalchhari,Rural,SS_005,FDR_16,23,350,9,Yes,1062,0.18,128,193,239,272,141,160,191,175,60,60,64,84
Khagrachhari,Manikchhari,Rural,SS_006,FDR_20,16,400,8,Yes,1447,0.17,104,169,209,257,102,123,197,173,49,52,80,97
Khagrachhari,Matiranga,Rural,SS_022,FDR_03,6,400,7,No,580,0.07,136,191,192,241,138,150,214,129,70,51,74,73
Khagrachhari,Panchhari,Rural,SS_039,FDR_02,19,300,7,Yes,693,0.17,133,183,219,220,123,143,186,144,53,74,70,91
Khagrachhari,Ramgarh,Rural,SS_020,FDR_13,17,250,4,Yes,673,0.09,116,196,234,277,109,141,160,157,61,54,89,81
Khagrachhari,Guimara,Rural,SS_024,FDR_01,17,300,10,Yes,938,0.1,150,171,232,216,142,164,217,125,60,71,73,86
Bandarban,Bandarban Sadar,Urban,SS_034,FDR_02,20,300,3,No,15125,0.43,114,158,189,209,118,174,162,152,64,67,86,93
Bandarban,Ali Kadam,Rural,SS_016,FDR_15,17,400,2,Yes,1419,0.07,110,161,233,279,110,166,206,122,53,61,81,93
Bandarban,Thanchi,Rural,SS_033,FDR_17,12,350,4,No,908,0.24,150,180,237,224,123,163,206,149,64,59,84,82
Bandarban,Rowangchhari,Rural,SS_019,FDR_03,9,250,4,Yes,1551,0.04,103,191,210,247,135,179,163,165,67,66,87,73
Bandarban,Lama,Rural,SS_006,FDR_12,18,250,1,Yes,702,0.25,114,178,236,244,101,146,156,145,56,61,67,82
Bandarban,Ruma,Rural,SS_031,FDR_15,25,400,5,Yes,662,0.01,150,159,188,204,118,178,210,164,66,54,84,92
Bandarban,Naikhongchhari,Rural,SS_027,FDR_20,11,350,2,Yes,1523,0.18,135,196,218,267,127,127,186,135,49,53,61,77
